ztfg ztfg_total.dat AB "ZTF g band filter + instrument + atmosphere"
ztfr ztfr_total.dat AB "ZTF r band filter + instrument + atmosphere"
ztfi ztfi_total.dat AB "ZTF i band filter + instrument + atmosphere"
ztf_g ztf_g_atm.dat AB "ZTF g band obtained from SVO Filter Profile Service V2 and CTIO atmostpheric model"
ztf_r ztf_r_atm.dat AB "ZTF r band obtained from SVO Filter Profile Service V2 and CTIO atmostpheric model"
ztf_i ztf_i_atm.dat AB "ZTF i band obtained from SVO Filter Profile Service V2 and CTIO atmostpheric model"
ztf_g0 ztf_g_band.dat AB "ZTF g band obtained from SVO Filter Profile Service V2"
ztf_r0 ztf_r_band.dat AB "ZTF r band obtained from SVO Filter Profile Service V2"
ztf_i0 ztf_i_band.dat AB "ZTF i band obtained from SVO Filter Profile Service V2"
ztfg_s ztf_g_atm_single.dat AB "ZTF g band filter + instrument + atmosphere + single layer QE"
ztfr_s ztf_r_atm_single.dat AB "ZTF r band filter + instrument + atmosphere + single layer QE"
ztfi_s ztf_i_atm_single.dat AB "ZTF i band filter + instrument + atmosphere + single layer QE"
